Date,Temperature,Humidity,Wind Speed,Precipitation
2023-01-01,5,65,10,0.0
2023-01-02,7,67,12,1.2
2023-01-03,8,70,15,0.5
2023-01-04,6,72,11,0.0
2023-01-05,9,71,14,2.1
2023-01-06,12,69,20,4.0
2023-01-07,11,68,25,3.5
2023-01-08,14,66,19,0.0
2023-01-09,13,64,21,5.0
2023-01-10,10,65,18,0.0
2023-01-11,8,67,15,0.8
2023-01-12,6,70,12,0.0
2023-01-13,7,72,10,0.0
2023-01-14,9,69,9,1.5
2023-01-15,12,68,8,4.5
2023-01-16,14,66,7,3.2
2023-01-17,15,64,11,0.0
2023-01-18,14,63,13,0.0
2023-01-19,13,65,15,2.3
2023-01-20,10,67,18,5.0
2023-01-21,9,68,20,0.9
2023-01-22,8,69,22,0.6
2023-01-23,6,71,25,0.0
2023-01-24,5,72,28,0.0
2023-01-25,4,70,26,1.1
2023-01-26,7,68,24,0.0
2023-01-27,9,66,22,0.0
2023-01-28,10,64,19,2.0
2023-01-29,11,63,17,0.0
2023-01-30,12,65,15,0.0
2023-01-31,13,67,12,1.4
